,uncleaned_index,item_name,item_address,lat,lon,OGaddress,index,review_score,categories,url
1104,2107,Terry Fox Monument,"1000 Highway 11/17, Thunder Bay, Ontario",49.0194256,-88.2790153,"1000 Highway 11/17, Thunder Bay, Ontario Canada",T1104,4.7,"['Monuments & Statues', 'Monuments & Statues']",https://www.tripadvisor.ca/Attraction_Review-g155017-d3236405-Reviews-Terry_Fox_Monument-Thunder_Bay_Thunder_Bay_District_Ontario.html
1105,2108,Fort William Historical Park,"1350 King Rd, Thunder Bay, Ontario",48.34337055,-89.3580773139429,"1350 King Rd, Thunder Bay, Ontario P7K 1L7 Canada",T1105,4.6,"['Historic Sites', 'Historic Sites']",https://www.tripadvisor.ca/Attraction_Review-g155017-d553458-Reviews-Fort_William_Historical_Park-Thunder_Bay_Thunder_Bay_District_Ontario.html
1106,2111,Mount McKay,"Mount McKay Road, Thunder Bay, Ontario",48.3440486,-89.2883634,"Mount McKay Road Nor'Wester Mountains, Thunder Bay, Ontario Canada",T1106,4.2,"['Mountains', 'Mountains']",https://www.tripadvisor.ca/Attraction_Review-g155017-d1908881-Reviews-Mount_McKay-Thunder_Bay_Thunder_Bay_District_Ontario.html
1107,2112,Marina Park,"Marina Park Drive, Thunder Bay, Ontario",48.4315196,-89.2194038,"Marina Park Drive Waterfront - Marina Park, Thunder Bay, Ontario Canada",T1107,4.4,"['Bodies of Water', 'Bodies of Water']",https://www.tripadvisor.ca/Attraction_Review-g155017-d7726576-Reviews-Marina_Park-Thunder_Bay_Thunder_Bay_District_Ontario.html
1108,2114,Centennial Botanical Conservatory,"1601 Dease Street, Thunder Bay, Ontario",48.3900373,-89.2511921,"1601 Dease Street West West Off Balmoral Avenue, Thunder Bay, Ontario P7C 5H4 Canada",T1108,4.4,"['Nature & Wildlife Areas', 'Gardens', 'Nature & Wildlife Areas', 'Gardens']",https://www.tripadvisor.ca/Attraction_Review-g155017-d4154195-Reviews-Centennial_Botanical_Conservatory-Thunder_Bay_Thunder_Bay_District_Ontario.html
1109,2115,Thunder Oak Cheese Farm,"755 Boundary Drive, Thunder Bay, Ontario",48.2893448,-89.4487945,"755 Boundary Drive, Thunder Bay, Ontario Canada",T1109,4.5,"['Farms', 'Farms']",https://www.tripadvisor.ca/Attraction_Review-g155017-d2285506-Reviews-Thunder_Oak_Cheese_Farm-Thunder_Bay_Thunder_Bay_District_Ontario.html
1110,2118,Pebble Beach,"39 Howe Street, Marathon, Ontario",48.708717,-86.3841744,"39 Howe Street, Marathon, Ontario P0T 2E0 Canada",T1110,4.6,"['Beaches', 'Beaches']",https://www.tripadvisor.ca/Attraction_Review-g181746-d8432628-Reviews-Pebble_Beach-Marathon_Thunder_Bay_District_Ontario.html
1111,2119,Sleeping Giant Brewing Company,"712 Macdonell St, Thunder Bay, Ontario",48.4171884,-89.243016,"712 Macdonell St, Thunder Bay, Ontario P7B 4A6 Canada",T1111,4.6,"['Breweries', 'Breweries']",https://www.tripadvisor.ca/Attraction_Review-g155017-d4926850-Reviews-Sleeping_Giant_Brewing_Company-Thunder_Bay_Thunder_Bay_District_Ontario.html
1112,2121,Silver Harbour Conservation Area,"Silver Harbour Drive, Shuniah, Ontario",48.5176821,-88.9832458,"Silver Harbour Drive, Shuniah, Ontario P7A 0G4 Canada",T1112,4.3,"['Nature & Wildlife Areas', 'Nature & Wildlife Areas']",https://www.tripadvisor.ca/Attraction_Review-g1916885-d12952040-Reviews-Silver_Harbour_Conservation_Area-Shuniah_Thunder_Bay_District_Ontario.html
1113,2124,Ouimet Canyon Provincial Park,"Ouimet Canyon Road, Dorion, Ontario",48.7660736,-88.6157848,"Ouimet Canyon Road, Dorion, Ontario P0T 2M0 Canada",T1113,4.7,"['National Parks', 'Canyons', 'National Parks', 'Canyons']",https://www.tripadvisor.ca/Attraction_Review-g4507160-d155834-Reviews-Ouimet_Canyon_Provincial_Park-Dorion_Thunder_Bay_District_Ontario.html
1114,2129,Paddle to the Sea Park,"52 Front Street, Nipigon, Ontario",49.0121716,-88.263222825,"52 Front Street, Nipigon, Ontario Canada",T1114,4.6,"['Parks', 'Parks']",https://www.tripadvisor.ca/Attraction_Review-g499280-d3384086-Reviews-Paddle_to_the_Sea_Park-Nipigon_Thunder_Bay_District_Ontario.html
1115,2132,Chippewa Park,"2351 Highway 61, Thunder Bay, Ontario",48.3164451,-89.3610869,"2351 Highway 61, Thunder Bay, Ontario P7C 4Y4 Canada",T1115,3.9,"['Parks', 'Parks']",https://www.tripadvisor.ca/Attraction_Review-g155017-d5074533-Reviews-Chippewa_Park-Thunder_Bay_Thunder_Bay_District_Ontario.html
1116,2137,Silver Falls Provincial Park,"Silver Falls Road, Thunder Bay, Ontario",48.5843962,-89.6010629,"Silver Falls Road, Thunder Bay, Ontario Canada",T1116,4.5,"['Parks', 'Waterfalls', 'Parks', 'Waterfalls']",https://www.tripadvisor.ca/Attraction_Review-g155017-d4310470-Reviews-Silver_Falls_Provincial_Park-Thunder_Bay_Thunder_Bay_District_Ontario.html
