,Unnamed: 0,uncleaned_index,item_name,item_address,lat,lon,OGaddress,index,review_score,price,categories,diets,url
113,126,151,legendz pub Ontario,"5529 Hwy 62, Belleville, Ontario",44.208083,-77.4056511,"5529 Hwy 62 S RossmoreK8N 4Z7, Belleville, Ontario Canada",R126,4.0,2.5,"['Bar', 'Pub', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d7051700-Reviews-Legendz_pub_Ontario-Belleville_Ontario.html
114,127,152,Goody's Pizzeria,"652 Dundas St, Belleville, Ontario",44.16919229999999,-77.33990770000001,"652 Dundas St E, Belleville, Ontario K8N 1G7 Canada",R127,4.0,1.0,"['Pizza', 'Fast food', 'Greek']",[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d765754-Reviews-Goody_s_Pizzeria-Belleville_Ontario.html
115,128,153,Heather's Place,"6835 Hwy 62, Belleville, Ontario",44.20990576948049,-77.4067465640548,"6835 Hwy 62, Belleville, Ontario K8N 4Z5 Canada",R128,3.8,1.0,"['Cafe', 'Diner', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d4852057-Reviews-Heather_s_Place-Belleville_Ontario.html
116,129,154,Oishii Sushi,"390 North Front, Belleville, Ontario",44.188590414285706,-77.39669359999998,"390 North Front St # K9, Belleville, Ontario K8P 3E1 Canada",R129,4.3,5.0,[],[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d4850921-Reviews-Oishii_Sushi-Belleville_Ontario.html
117,130,155,Pizza Hut,"268 North Front, Belleville, Ontario",44.18279863636364,-77.39386213636364,"268 North Front St, Belleville, Ontario K8P 3C4 Canada",R130,3.8,2.5,"['Pizza', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d4851903-Reviews-Pizza_Hut-Belleville_Ontario.html
118,131,157,New York Fries,"390 North Front, Belleville, Ontario",44.188590414285706,-77.39669359999998,"390 North Front St, Belleville, Ontario K8P 3E1 Canada",R131,4.6,1.0,['Canadian'],[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d4876339-Reviews-New_York_Fries-Belleville_Ontario.html
120,133,159,Subway,"450 Dundas St, Belleville, Ontario",44.167776200000006,-77.3540665,"450 Dundas St E Unit 4, Belleville, Ontario K8N 4Z9 Canada",R133,4.1,1.0,"['Fast food', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d978067-Reviews-Subway-Belleville_Ontario.html
121,134,160,Subway,"48 Dundas St, Belleville, Ontario",44.15972925,-77.3886064929269,"48 Dundas St W Unit 3, Belleville, Ontario K8P 1A3 Canada",R134,4.1,1.0,"['Fast food', 'Canadian']",[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d5033431-Reviews-Subway-Belleville_Ontario.html
122,135,161,Olympic Restaurant,"444 Dundas St, Belleville, Ontario",44.146736,-77.40989259999999,"444 Dundas St W, Belleville, Ontario K8P 1B7 Canada",R135,3.6,2.5,['Canadian'],[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d976981-Reviews-Olympic_Restaurant-Belleville_Ontario.html
123,136,163,Caribbean Jerk Spot,"690 Sidney St, Belleville, Ontario",44.18483953333334,-77.40999941,"690 Sidney St, Belleville, Ontario K8P 4A8 Canada",R136,4.0,9.0,[],[],https://www.tripadvisor.ca/Restaurant_Review-g154981-d13125593-Reviews-Caribbean_Jerk_Spot-Belleville_Ontario.html
